Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Janice.Q,2022.03.21 13:41:38 EDT,14769,VPN,0,1,172.26.156.234,10.128.20.160,UDP,1194,3104148420,
openvpn-server,Ann.J,2022.03.21 13:53:19 EDT,16390,VPN,0,1,172.28.212.197,10.128.20.150,UDP,1194,3150649700,
openvpn-server,Nancy.O,2022.03.21 14:22:01 EDT,3787,VPN,0,1,172.17.110.164,10.128.20.180,UDP,1194,566974492,
openvpn-server,Cynthia.P,2022.03.21 14:35:06 EDT,13356,VPN,0,1,172.25.228.22,10.128.20.21,UDP,1194,334434240,
openvpn-server,Martha.B,2022.03.21 14:51:37 EDT,5107,VPN,0,1,172.21.104.239,10.128.20.201,UDP,1194,229631148,
openvpn-server,Brittany.N,2022.03.21 15:06:14 EDT,2424,VPN,0,1,172.29.198.168,10.128.20.29,UDP,1194,609388752,
openvpn-server,Grace.S,2022.03.21 15:28:21 EDT,4723,VPN,0,1,172.28.155.154,10.128.20.95,UDP,1194,458735544,
openvpn-server,Kelly.Y,2022.03.21 15:46:49 EDT,12029,VPN,0,1,172.16.80.59,10.128.20.233,UDP,1194,1375913107,
openvpn-server,Steven.K,2022.03.21 15:58:42 EDT,814,VPN,0,1,172.21.148.123,10.128.20.192,UDP,1194,51085012,
openvpn-server,Susan.X,2022.03.21 16:26:15 EDT,10253,VPN,0,1,172.25.238.131,10.128.20.210,UDP,1194,59990303,
openvpn-server,Kayla.Y,2022.03.21 16:49:32 EDT,,VPN,0,0,172.16.29.133,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Philip.G,2022.03.21 17:24:54 EDT,937,VPN,0,1,172.20.255.112,10.128.20.222,UDP,1194,243307979,
openvpn-server,Philip.G,2022.03.21 18:01:56 EDT,4183,VPN,0,1,172.20.85.97,10.128.20.186,UDP,1194,40002029,
openvpn-server,Andrea.V,2022.03.21 18:38:33 EDT,2447,VPN,0,1,172.16.108.22,10.128.20.96,UDP,1194,413440226,
openvpn-server,Paul.Y,2022.03.22 07:28:08 EDT,,VPN,0,0,172.19.166.63,,UDP,1194,,user not found
openvpn-server,Donald.Y,2022.03.22 08:32:35 EDT,20570,VPN,0,1,172.29.133.40,10.128.20.223,UDP,1194,1295786580,
openvpn-server,Grace.S,2022.03.22 08:53:19 EDT,,VPN,0,0,172.22.202.171,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Martha.B,2022.03.22 09:15:39 EDT,34122,VPN,0,1,172.20.193.110,10.128.20.242,UDP,1194,4718014818,
openvpn-server,Grace.S,2022.03.22 09:55:26 EDT,24688,VPN,0,1,172.18.29.208,10.128.20.86,UDP,1194,5354654384,
openvpn-server,Donald.Y,2022.03.22 10:07:18 EDT,12056,VPN,0,1,172.19.3.161,10.128.20.62,UDP,1194,2343023320,
openvpn-server,Katherine.Q,2022.03.22 10:45:21 EDT,21207,VPN,0,1,172.30.3.230,10.128.20.173,UDP,1194,3022951815,
openvpn-server,Jacqueline.X,2022.03.22 11:09:39 EDT,10199,VPN,0,1,172.27.91.188,10.128.20.191,UDP,1194,1133720840,
openvpn-server,Kelly.Y,2022.03.22 11:26:55 EDT,23088,VPN,0,1,172.19.171.86,10.128.20.65,UDP,1194,3541653024,
openvpn-server,Janice.Q,2022.03.22 12:00:53 EDT,2668,VPN,0,1,172.23.121.230,10.128.20.98,UDP,1194,459867152,
openvpn-server,Shirley.C,2022.03.22 12:35:07 EDT,13466,VPN,0,1,172.19.0.58,10.128.20.199,UDP,1194,550261158,
openvpn-server,Nancy.O,2022.03.22 12:55:59 EDT,5652,VPN,0,1,172.31.172.236,10.128.20.132,UDP,1194,710688132,
openvpn-server,Steven.K,2022.03.22 13:11:53 EDT,3057,VPN,0,1,172.25.168.4,10.128.20.188,UDP,1194,308509383,
openvpn-server,Susan.X,2022.03.22 13:46:29 EDT,10735,VPN,0,1,172.29.0.125,10.128.20.122,UDP,1194,52032545,
openvpn-server,Jerry.D,2022.03.22 14:19:39 EDT,1283,VPN,0,1,172.30.35.90,10.128.20.204,UDP,1194,94743135,
openvpn-server,Judith.U,2022.03.22 14:49:37 EDT,7222,VPN,0,1,172.16.9.179,10.128.20.46,UDP,1194,95814274,
openvpn-server,Jeffrey.C,2022.03.22 15:19:51 EDT,4496,VPN,0,1,172.21.182.165,10.128.20.200,UDP,1194,1103714048,
openvpn-server,Steven.K,2022.03.22 15:42:15 EDT,13230,VPN,0,1,172.17.106.138,10.128.20.107,UDP,1194,548608410,
openvpn-server,Jerry.D,2022.03.22 15:53:35 EDT,3680,VPN,0,1,172.27.71.69,10.128.20.68,UDP,1194,848184800,
openvpn-server,Noah.O,2022.03.22 16:26:15 EDT,2215,VPN,0,1,172.29.13.250,10.128.20.14,UDP,1194,204393555,
openvpn-server,Philip.G,2022.03.22 16:45:25 EDT,7461,VPN,0,1,172.24.109.39,10.128.20.70,UDP,1194,1644389478,
openvpn-server,Grace.S,2022.03.22 17:02:06 EDT,7363,VPN,0,1,172.19.234.99,10.128.20.126,UDP,1194,343918367,
openvpn-server,Noah.O,2022.03.22 17:22:45 EDT,1097,VPN,0,1,172.26.53.14,10.128.20.20,UDP,1194,78896240,
openvpn-server,Janice.Q,2022.03.22 17:50:16 EDT,3283,VPN,0,1,172.30.243.121,10.128.20.77,UDP,1194,642000499,
openvpn-server,Shirley.C,2022.03.22 18:12:33 EDT,7004,VPN,0,1,172.30.191.38,10.128.20.165,UDP,1194,1280863504,
openvpn-server,Debra.T,2022.03.22 18:40:12 EDT,5325,VPN,0,1,172.29.72.22,10.128.20.202,UDP,1194,929217825,
openvpn-server,Brenda.S,2022.03.22 18:57:46 EDT,4554,VPN,0,1,172.23.60.118,10.128.20.220,UDP,1194,677685294,
openvpn-server,Brittany.N,2022.03.23 07:11:34 EDT,23909,VPN,0,1,172.21.244.196,10.128.20.159,UDP,1194,4199783213,
openvpn-server,Heather.Y,2022.03.23 07:49:57 EDT,17601,VPN,0,1,172.31.14.227,10.128.20.137,UDP,1194,3353166510,
openvpn-server,Debra.T,2022.03.23 08:13:02 EDT,8574,VPN,0,1,172.19.9.32,10.128.20.149,UDP,1194,1190234106,
openvpn-server,Brenda.S,2022.03.23 08:50:01 EDT,39378,VPN,0,1,172.23.74.47,10.128.20.74,UDP,1194,10212290520,
openvpn-server,Jerry.D,2022.03.23 09:23:01 EDT,32612,VPN,0,1,172.18.71.51,10.128.20.31,UDP,1194,5849907948,
openvpn-server,Nancy.O,2022.03.23 09:46:52 EDT,16177,VPN,0,1,172.25.226.159,10.128.20.111,UDP,1194,3603717936,
openvpn-server,Ann.J,2022.03.23 10:05:12 EDT,1861,VPN,0,1,172.23.231.94,10.128.20.203,UDP,1194,241001361,
openvpn-server,Philip.G,2022.03.23 10:26:36 EDT,5980,VPN,0,1,172.24.236.186,10.128.20.61,UDP,1194,1192447880,
openvpn-server,Richard.G,2022.03.23 10:46:53 EDT,,VPN,0,0,172.27.72.98,,UDP,1194,,user not found
openvpn-server,Noah.O,2022.03.23 11:22:37 EDT,27051,VPN,0,1,172.16.62.129,10.128.20.51,UDP,1194,1569931836,
openvpn-server,Jacqueline.X,2022.03.23 11:48:48 EDT,10352,VPN,0,1,172.26.193.241,10.128.20.3,UDP,1194,2797628000,
openvpn-server,Philip.G,2022.03.23 12:13:48 EDT,,VPN,0,0,172.20.165.4,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Judith.U,2022.03.23 12:28:31 EDT,25025,VPN,0,1,172.22.37.73,10.128.20.147,UDP,1194,4096041950,
openvpn-server,Steven.K,2022.03.23 12:39:58 EDT,,VPN,0,0,172.16.42.225,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jeffrey.C,2022.03.23 13:06:55 EDT,15720,VPN,0,1,172.21.10.19,10.128.20.38,UDP,1194,1512153960,
openvpn-server,Andrea.V,2022.03.23 13:23:22 EDT,2427,VPN,0,1,172.25.51.230,10.128.20.104,UDP,1194,379609497,
openvpn-server,Martha.B,2022.03.23 13:34:50 EDT,18745,VPN,0,1,172.16.134.150,10.128.20.25,UDP,1194,3029323215,
openvpn-server,Philip.G,2022.03.23 14:00:06 EDT,7259,VPN,0,1,172.26.118.217,10.128.20.149,UDP,1194,1875783672,
openvpn-server,Cynthia.P,2022.03.23 14:15:14 EDT,3816,VPN,0,1,172.19.242.119,10.128.20.20,UDP,1194,199340208,
openvpn-server,Harold.D,2022.03.23 14:29:46 EDT,8975,VPN,0,1,172.21.121.215,10.128.20.211,UDP,1194,1151510450,
openvpn-server,Brittany.N,2022.03.23 15:09:31 EDT,12984,VPN,0,1,172.20.243.43,10.128.20.98,UDP,1194,1560689784,
openvpn-server,Katherine.Q,2022.03.23 15:30:44 EDT,1264,VPN,0,1,172.25.145.157,10.128.20.169,UDP,1194,82751552,
openvpn-server,Andrea.V,2022.03.23 15:50:38 EDT,6656,VPN,0,1,172.24.4.68,10.128.20.168,UDP,1194,56742400,
openvpn-server,Katherine.Q,2022.03.23 16:01:01 EDT,4765,VPN,0,1,172.26.242.23,10.128.20.223,UDP,1194,103991360,
openvpn-server,Debra.T,2022.03.23 16:23:12 EDT,,VPN,0,0,172.16.184.110,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Heather.Y,2022.03.23 16:50:07 EDT,9531,VPN,0,1,172.29.88.69,10.128.20.54,UDP,1194,2283608538,
openvpn-server,Cynthia.P,2022.03.23 17:03:42 EDT,7108,VPN,0,1,172.19.178.101,10.128.20.219,UDP,1194,1223535580,
openvpn-server,Janice.Q,2022.03.23 17:37:44 EDT,7777,VPN,0,1,172.28.155.57,10.128.20.105,UDP,1194,1809420151,
openvpn-server,Jeffrey.C,2022.03.23 17:48:05 EDT,4043,VPN,0,1,172.22.34.139,10.128.20.17,UDP,1194,511265651,
openvpn-server,Rebecca.U,2022.03.23 17:59:45 EDT,7659,VPN,0,1,172.25.8.84,10.128.20.88,UDP,1194,2007224766,
openvpn-server,Kelly.Y,2022.03.23 18:17:43 EDT,3502,VPN,0,1,172.30.141.105,10.128.20.239,UDP,1194,642788598,
openvpn-server,Susan.X,2022.03.23 18:28:22 EDT,2585,VPN,0,1,172.27.200.198,10.128.20.122,UDP,1194,654545265,
openvpn-server,Kayla.Y,2022.03.23 18:44:41 EDT,855,VPN,0,1,172.22.72.93,10.128.20.110,UDP,1194,181835415,
openvpn-server,Steven.K,2022.03.23 18:57:30 EDT,7331,VPN,0,1,172.31.81.44,10.128.20.58,UDP,1194,2001384993,
openvpn-server,Janice.Q,2022.03.24 07:02:52 EDT,1990,VPN,0,1,172.28.65.14,10.128.20.43,UDP,1194,399359170,
openvpn-server,Noah.O,2022.03.24 07:28:41 EDT,33398,VPN,0,1,172.18.26.207,10.128.20.156,UDP,1194,8481321906,
openvpn-server,Brenda.S,2022.03.24 07:58:14 EDT,41140,VPN,0,1,172.29.36.26,10.128.20.139,UDP,1194,9998747880,
openvpn-server,Nancy.O,2022.03.24 08:32:59 EDT,26150,VPN,0,1,172.28.237.66,10.128.20.71,UDP,1194,6013035600,
openvpn-server,Rebecca.U,2022.03.24 08:51:57 EDT,15953,VPN,0,1,172.23.195.225,10.128.20.88,UDP,1194,1577033815,
openvpn-server,Shirley.C,2022.03.24 09:12:16 EDT,25831,VPN,0,1,172.27.123.193,10.128.20.31,UDP,1194,3213867189,
openvpn-server,Grace.S,2022.03.24 09:50:59 EDT,33456,VPN,0,1,172.27.126.161,10.128.20.56,UDP,1194,3035630160,
openvpn-server,Judith.U,2022.03.24 10:12:49 EDT,19728,VPN,0,1,172.25.202.142,10.128.20.29,UDP,1194,3968050464,
openvpn-server,Debra.T,2022.03.24 10:33:06 EDT,24139,VPN,0,1,172.23.125.114,10.128.20.98,UDP,1194,1511366929,
openvpn-server,Marilyn.M,2022.03.24 11:04:16 EDT,,VPN,0,0,172.22.246.21,,UDP,1194,,user not found
openvpn-server,Heather.Y,2022.03.24 11:43:31 EDT,15984,VPN,0,1,172.28.86.98,10.128.20.49,UDP,1194,2532632832,
openvpn-server,Janice.Q,2022.03.24 11:57:15 EDT,24048,VPN,0,1,172.26.252.31,10.128.20.10,UDP,1194,4863106800,
openvpn-server,Harold.D,2022.03.24 12:09:31 EDT,24116,VPN,0,1,172.26.1.131,10.128.20.178,UDP,1194,2874337808,
openvpn-server,Brittany.N,2022.03.24 12:33:51 EDT,18855,VPN,0,1,172.17.247.88,10.128.20.125,UDP,1194,3824095680,
openvpn-server,Jeffrey.C,2022.03.24 12:46:53 EDT,,VPN,0,0,172.29.171.151,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jeffrey.C,2022.03.24 13:21:57 EDT,6120,VPN,0,1,172.20.208.207,10.128.20.189,UDP,1194,31046760,
openvpn-server,Ann.J,2022.03.24 13:47:49 EDT,6786,VPN,0,1,172.29.141.81,10.128.20.252,UDP,1194,219988548,
openvpn-server,Steven.K,2022.03.24 13:59:23 EDT,16707,VPN,0,1,172.20.34.64,10.128.20.239,UDP,1194,2205825210,
openvpn-server,Kayla.Y,2022.03.24 14:35:58 EDT,13256,VPN,0,1,172.22.181.231,10.128.20.132,UDP,1194,565421424,
openvpn-server,Andrea.V,2022.03.24 14:54:19 EDT,15533,VPN,0,1,172.16.203.253,10.128.20.111,UDP,1194,1563940105,
openvpn-server,Rebecca.U,2022.03.24 15:26:42 EDT,3301,VPN,0,1,172.21.80.82,10.128.20.97,UDP,1194,717898179,
openvpn-server,Jacqueline.X,2022.03.24 15:47:50 EDT,14102,VPN,0,1,172.16.109.149,10.128.20.211,UDP,1194,1075630050,
openvpn-server,Philip.G,2022.03.24 16:22:36 EDT,3765,VPN,0,1,172.21.242.36,10.128.20.112,UDP,1194,156431985,
openvpn-server,Noah.O,2022.03.24 16:48:41 EDT,811,VPN,0,1,172.29.62.245,10.128.20.180,UDP,1194,114122298,
openvpn-server,Nancy.O,2022.03.24 17:25:41 EDT,1197,VPN,0,1,172.24.89.122,10.128.20.98,UDP,1194,225031212,
openvpn-server,Cynthia.P,2022.03.24 17:35:41 EDT,7015,VPN,0,1,172.17.12.73,10.128.20.192,UDP,1194,198180765,
openvpn-server,Brittany.N,2022.03.24 18:15:38 EDT,1380,VPN,0,1,172.25.118.19,10.128.20.51,UDP,1194,28709520,
openvpn-server,Jeffrey.C,2022.03.24 18:38:28 EDT,7698,VPN,0,1,172.16.16.248,10.128.20.163,UDP,1194,66479928,
openvpn-server,Kelly.Y,2022.03.24 18:57:20 EDT,4741,VPN,0,1,172.17.177.73,10.128.20.231,UDP,1194,444653649,
openvpn-server,Ann.J,2022.03.25 07:13:28 EDT,,VPN,0,0,172.30.115.180,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Shirley.C,2022.03.25 07:48:43 EDT,28148,VPN,0,1,172.23.146.146,10.128.20.193,UDP,1194,2422360584,
openvpn-server,Judith.U,2022.03.25 08:15:50 EDT,5510,VPN,0,1,172.23.195.44,10.128.20.15,UDP,1194,1231385820,
openvpn-server,Nancy.O,2022.03.25 08:45:55 EDT,38367,VPN,0,1,172.22.195.94,10.128.20.227,UDP,1194,3884236713,
openvpn-server,Jacqueline.X,2022.03.25 09:01:10 EDT,21333,VPN,0,1,172.17.170.225,10.128.20.43,UDP,1194,5217070482,
openvpn-server,Heather.Y,2022.03.25 09:16:39 EDT,,VPN,0,0,172.30.109.187,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jerry.D,2022.03.25 09:56:32 EDT,5493,VPN,0,1,172.27.70.19,10.128.20.97,UDP,1194,1265224662,
openvpn-server,Steven.G,2022.03.25 10:12:03 EDT,,VPN,0,0,172.28.246.181,,UDP,1194,,user not found
openvpn-server,Rebecca.U,2022.03.25 10:50:12 EDT,16546,VPN,0,1,172.20.124.33,10.128.20.55,UDP,1194,3501199784,
openvpn-server,Kelly.Y,2022.03.25 11:20:49 EDT,16140,VPN,0,1,172.27.237.72,10.128.20.168,UDP,1194,1923016440,
openvpn-server,Andrea.V,2022.03.25 11:51:55 EDT,13049,VPN,0,1,172.30.106.200,10.128.20.17,UDP,1194,1265779098,
openvpn-server,Katherine.Q,2022.03.25 12:02:49 EDT,17752,VPN,0,1,172.22.161.236,10.128.20.132,UDP,1194,2483558056,
openvpn-server,Brittany.N,2022.03.25 12:21:09 EDT,11111,VPN,0,1,172.27.184.229,10.128.20.150,UDP,1194,2322021224,
openvpn-server,Debra.T,2022.03.25 12:40:55 EDT,14048,VPN,0,1,172.20.200.2,10.128.20.114,UDP,1194,110613952,
openvpn-server,Harold.D,2022.03.25 12:51:37 EDT,5200,VPN,0,1,172.26.178.202,10.128.20.60,UDP,1194,986497200,
openvpn-server,Judith.U,2022.03.25 13:09:19 EDT,16059,VPN,0,1,172.30.47.81,10.128.20.216,UDP,1194,3711459726,
openvpn-server,Kayla.Y,2022.03.25 13:44:17 EDT,7479,VPN,0,1,172.16.194.238,10.128.20.133,UDP,1194,2006264187,
openvpn-server,Janice.Q,2022.03.25 14:21:59 EDT,,VPN,0,0,172.19.172.145,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Noah.O,2022.03.25 14:42:24 EDT,4801,VPN,0,1,172.20.130.146,10.128.20.177,UDP,1194,1236612774,
openvpn-server,Heather.Y,2022.03.25 15:22:17 EDT,5121,VPN,0,1,172.19.53.212,10.128.20.223,UDP,1194,424208277,
openvpn-server,Grace.S,2022.03.25 16:01:52 EDT,4390,VPN,0,1,172.19.171.59,10.128.20.68,UDP,1194,89261870,
openvpn-server,Steven.K,2022.03.25 16:34:56 EDT,720,VPN,0,1,172.30.90.48,10.128.20.42,UDP,1194,147924720,
openvpn-server,Brittany.N,2022.03.25 16:47:32 EDT,3982,VPN,0,1,172.20.206.2,10.128.20.8,UDP,1194,561621280,
openvpn-server,Harold.D,2022.03.25 17:04:31 EDT,1553,VPN,0,1,172.27.154.92,10.128.20.170,UDP,1194,418750920,
openvpn-server,Grace.S,2022.03.25 17:26:50 EDT,7499,VPN,0,1,172.26.61.210,10.128.20.7,UDP,1194,1168989114,
openvpn-server,Andrea.V,2022.03.25 17:46:52 EDT,665,VPN,0,1,172.19.5.11,10.128.20.206,UDP,1194,179704945,
openvpn-server,Steven.K,2022.03.25 18:22:35 EDT,5073,VPN,0,1,172.26.111.179,10.128.20.92,UDP,1194,483061206,
openvpn-server,Jerry.D,2022.03.25 18:46:10 EDT,5540,VPN,0,1,172.29.43.252,10.128.20.251,UDP,1194,805067260,
openvpn-server,Andrea.V,2022.03.26 07:01:09 EDT,35562,VPN,0,1,172.24.12.167,10.128.20.27,UDP,1194,3753533538,
openvpn-server,Janice.Q,2022.03.26 07:19:55 EDT,12916,VPN,0,1,172.19.148.89,10.128.20.223,UDP,1194,1030774296,
openvpn-server,Steven.K,2022.03.26 07:45:21 EDT,41451,VPN,0,1,172.30.45.202,10.128.20.7,UDP,1194,5924715783,
openvpn-server,Cynthia.P,2022.03.26 08:01:10 EDT,36621,VPN,0,1,172.19.223.119,10.128.20.120,UDP,1194,6238790181,
openvpn-server,Kayla.Y,2022.03.26 08:29:47 EDT,36591,VPN,0,1,172.19.194.241,10.128.20.40,UDP,1194,1227957369,
openvpn-server,Harold.D,2022.03.26 08:41:22 EDT,11666,VPN,0,1,172.21.232.143,10.128.20.125,UDP,1194,2403277662,
openvpn-server,Nancy.O,2022.03.26 09:16:04 EDT,30651,VPN,0,1,172.24.14.21,10.128.20.246,UDP,1194,5769223173,
openvpn-server,Kelly.Y,2022.03.26 09:42:42 EDT,11150,VPN,0,1,172.16.116.181,10.128.20.18,UDP,1194,1421022900,
openvpn-server,Shirley.C,2022.03.26 09:59:58 EDT,18529,VPN,0,1,172.18.127.61,10.128.20.185,UDP,1194,1104717509,
openvpn-server,Heather.Y,2022.03.26 10:24:26 EDT,13311,VPN,0,1,172.16.230.19,10.128.20.197,UDP,1194,41969583,
openvpn-server,Noah.O,2022.03.26 10:48:39 EDT,28783,VPN,0,1,172.17.162.149,10.128.20.151,UDP,1194,5417737741,
openvpn-server,Ann.J,2022.03.26 11:06:59 EDT,4540,VPN,0,1,172.19.197.46,10.128.20.85,UDP,1194,361197860,
openvpn-server,Katherine.Q,2022.03.26 11:35:59 EDT,4332,VPN,0,1,172.18.200.178,10.128.20.168,UDP,1194,735647244,
openvpn-server,Grace.S,2022.03.26 11:56:13 EDT,846,VPN,0,1,172.17.236.73,10.128.20.84,UDP,1194,33367086,
openvpn-server,Janice.Z,2022.03.26 12:20:57 EDT,,VPN,0,0,172.24.53.40,,UDP,1194,,user not found
openvpn-server,Jerry.D,2022.03.26 12:48:15 EDT,20764,VPN,0,1,172.20.127.115,10.128.20.226,UDP,1194,5513589504,
openvpn-server,Grace.S,2022.03.26 13:01:09 EDT,17247,VPN,0,1,172.17.86.227,10.128.20.253,UDP,1194,328244904,
openvpn-server,Jacqueline.X,2022.03.26 13:39:26 EDT,2202,VPN,0,1,172.29.163.108,10.128.20.231,UDP,1194,334719414,
openvpn-server,Debra.T,2022.03.26 14:03:07 EDT,1911,VPN,0,1,172.22.187.214,10.128.20.209,UDP,1194,525341544,
openvpn-server,Brenda.S,2022.03.26 14:28:12 EDT,6985,VPN,0,1,172.26.79.90,10.128.20.30,UDP,1194,498903625,
openvpn-server,Philip.G,2022.03.26 14:41:00 EDT,4109,VPN,0,1,172.25.160.5,10.128.20.114,UDP,1194,114698626,
openvpn-server,Judith.U,2022.03.26 14:58:19 EDT,15290,VPN,0,1,172.19.26.119,10.128.20.206,UDP,1194,3550123940,
openvpn-server,Jacqueline.X,2022.03.26 15:17:11 EDT,908,VPN,0,1,172.25.239.226,10.128.20.248,UDP,1194,148400796,
openvpn-server,Jacqueline.X,2022.03.26 15:33:57 EDT,7065,VPN,0,1,172.29.75.243,10.128.20.197,UDP,1194,120366405,
openvpn-server,Susan.X,2022.03.26 16:07:47 EDT,6866,VPN,0,1,172.22.203.219,10.128.20.223,UDP,1194,1266275782,
openvpn-server,Jeffrey.C,2022.03.26 16:26:36 EDT,6201,VPN,0,1,172.30.173.51,10.128.20.48,UDP,1194,32288607,
openvpn-server,Harold.D,2022.03.26 16:46:01 EDT,1818,VPN,0,1,172.23.215.176,10.128.20.214,UDP,1194,417345534,
openvpn-server,Brenda.S,2022.03.26 16:58:50 EDT,5787,VPN,0,1,172.31.119.80,10.128.20.187,UDP,1194,1425361248,
openvpn-server,Philip.G,2022.03.26 17:12:51 EDT,6352,VPN,0,1,172.31.139.140,10.128.20.115,UDP,1194,61188816,
openvpn-server,Brittany.N,2022.03.26 17:25:20 EDT,3680,VPN,0,1,172.30.146.174,10.128.20.60,UDP,1194,498040160,
openvpn-server,Katherine.Q,2022.03.26 17:55:09 EDT,5796,VPN,0,1,172.20.24.200,10.128.20.188,UDP,1194,677193048,
openvpn-server,Nancy.O,2022.03.26 18:14:14 EDT,4722,VPN,0,1,172.22.219.122,10.128.20.202,UDP,1194,1259220462,
